Disease,Symptoms
Pneumonia,"[' chills', ' fatigue', ' cough', ' high_fever', ' sweating', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum', nan, nan, nan, nan, nan, nan, nan]"
Pneumonia,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' malaise', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum', nan, nan, nan, nan, nan, nan, nan]"
Pneumonia,"[' chills', ' fatigue', ' cough', ' high_fever', ' breathlessness', ' sweating', ' phlegm', ' chest_pain', ' fast_heart_rate', ' rusty_sputum', nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Dimorphic hemmorhoids(piles),"[' constipation', ' pain_during_bowel_movements', ' pain_in_anal_region', ' bloody_stool', ' irritation_in_anus', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' breathlessness', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' sweating', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' breathlessness', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' sweating', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Heart attack,"[' vomiting', ' breathlessness', ' chest_pain', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' cramps', ' bruising', ' obesity', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' bruising', ' obesity', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' obesity', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' swollen_legs', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_blood_vessels', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs', ' swollen_blood_vessels', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Varicose veins,"[' fatigue', ' cramps', ' bruising', ' obesity', ' swollen_legs', ' prominent_veins_on_calf', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan]"
Hypothyroidism,"[' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' mood_swings', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' lethargy', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' dizziness', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' puffy_face_and_eyes', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hypothyroidism,"[' fatigue', ' weight_gain', ' cold_hands_and_feets', ' mood_swings', ' lethargy', ' dizziness', ' enlarged_thyroid', ' brittle_nails', ' swollen_extremeties', ' depression', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' sweating', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' diarrhoea', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' fast_heart_rate', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' excessive_hunger', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hyperthyroidism,"[' fatigue', ' mood_swings', ' weight_loss', ' restlessness', ' sweating', ' diarrhoea', ' fast_heart_rate', ' muscle_weakness', ' irritability', ' abnormal_menstruation', nan, nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan]"
Hypoglycemia,"[' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' anxiety', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' sweating', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' headache', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' nausea', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Hypoglycemia,"[' vomiting', ' fatigue', ' anxiety', ' sweating', ' headache', ' nausea', ' excessive_hunger', ' drying_and_tingling_lips', ' slurred_speech', ' irritability', ' palpitations', nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Osteoarthristis,"[' joint_pain', ' neck_pain', ' knee_pain', ' hip_joint_pain', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Arthritis,"[' muscle_weakness', ' stiff_neck', ' swelling_joints', ' movement_stiffness', ' painful_walking', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' headache', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' spinning_movements', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
(vertigo) Paroymsal  Positional Vertigo,"[' vomiting', ' headache', ' nausea', ' loss_of_balance', ' unsteadiness', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' pus_filled_pimples', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' blackheads', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' pus_filled_pimples', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Acne,"[' skin_rash', ' blackheads', ' scurring', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' bladder_discomfort', ' foul_smell_of urine', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Urinary tract infection,"[' burning_micturition', ' bladder_discomfort', ' continuous_feel_of_urine', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Psoriasis,"[' skin_rash', ' joint_pain', ' skin_peeling', ' silver_like_dusting', ' small_dents_in_nails', ' inflammatory_nails', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' high_fever', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Impetigo,"[' skin_rash', ' blister', ' red_sore_around_nose', ' yellow_crust_ooze', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"[' skin_rash', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' nodal_skin_eruptions', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' dischromic _patches', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Fungal infection,"['itching', ' skin_rash', ' nodal_skin_eruptions', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
